case_id,artifact_kind,expected_difficulty,generation_time_basis,reviewer_1,reviewer_1_decision,reviewer_2,reviewer_2_decision,adjudication,notes
golden-cs-basic-01,lesson,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-01,lab,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-01,assessment,beginner,生成前任务：knowledge_state=unobserved，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-02,lesson,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-02,lab,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-02,assessment,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-03,lesson,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-03,lab,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-03,assessment,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-04,lesson,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-04,lab,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-04,assessment,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-05,lesson,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-05,lab,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-05,assessment,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-06,lesson,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-06,lab,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-06,assessment,basic,生成前任务：knowledge_state=known，behavior=apply，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-07,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-07,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
golden-cs-basic-07,assessment,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；测评按可观测操作和目标组合定档,,,,,,
golden-cs-basic-08,lesson,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；讲义多目标组合下限=beginner,,,,,,
golden-cs-basic-08,lab,beginner,生成前任务：knowledge_state=weak，behavior=explain，target_count=1；实验按可观测操作和目标组合定档,,,,,,
